States,Regions,latitude,longitude,Dates,Usage
Manipur,NER,24.79997072,93.95001705,10/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,10/01/2019,6.2
Mizoram,NER,23.71039899,92.72001461,10/01/2019,1.7
Nagaland,NER,25.6669979,94.11657019,10/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,10/01/2019,4.3
Punjab,NR,31.51997398,75.98000281,11/01/2019,130.3
Haryana,NR,28.45000633,77.01999101,11/01/2019,145.3
Rajasthan,NR,26.44999921,74.63998124,11/01/2019,187.7
Delhi,NR,28.6699929,77.23000403,11/01/2019,79.5
UP,NR,27.59998069,78.05000565,11/01/2019,281.4
Uttarakhand,NR,30.32040895,78.05000565,11/01/2019,30.1
HP,NR,31.10002545,77.16659704,11/01/2019,23.9
J&K,NR,33.45,76.24,11/01/2019,37.3
Chandigarh,NR,30.71999697,76.78000565,11/01/2019,3.4
Chhattisgarh,WR,22.09042035,82.15998734,11/01/2019,80.7
Gujarat,WR,22.2587,71.1924,11/01/2019,275
MP,WR,21.30039105,76.13001949,11/01/2019,154.3
Maharashtra,WR,19.25023195,73.16017493,11/01/2019,405.2
Goa,WR,15.491997,73.81800065,11/01/2019,12.1
DNH,WR,20.26657819,73.0166178,11/01/2019,16.9
"Andhra Pradesh",SR,14.7504291,78.57002559,11/01/2019,167.7
Telangana,SR,18.1124,79.0193,11/01/2019,166.7
Karnataka,SR,12.57038129,76.91999711,11/01/2019,157
Kerala,SR,8.900372741,76.56999263,11/01/2019,67.4
"Tamil Nadu",SR,12.92038576,79.15004187,11/01/2019,270.5
Pondy,SR,11.93499371,79.83000037,11/01/2019,7.1
Bihar,ER,25.78541445,87.4799727,11/01/2019,76.2
Jharkhand,ER,23.80039349,86.41998572,11/01/2019,23.3
Odisha,ER,19.82042971,85.90001746,11/01/2019,78.4
"West Bengal",ER,22.58039044,88.32994665,11/01/2019,149.8
Sikkim,ER,27.3333303,88.6166475,11/01/2019,0.8
"Arunachal Pradesh",NER,27.10039878,93.61660071,11/01/2019,2.1
Assam,NER,26.7499809,94.21666744,11/01/2019,27.9
Manipur,NER,24.79997072,93.95001705,11/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,11/01/2019,6.2
Mizoram,NER,23.71039899,92.72001461,11/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,11/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,11/01/2019,4.3
Punjab,NR,31.51997398,75.98000281,12/01/2019,137.9
Haryana,NR,28.45000633,77.01999101,12/01/2019,151.9
Rajasthan,NR,26.44999921,74.63998124,12/01/2019,189.9
Delhi,NR,28.6699929,77.23000403,12/01/2019,92.6
UP,NR,27.59998069,78.05000565,12/01/2019,298.6
Uttarakhand,NR,30.32040895,78.05000565,12/01/2019,34.7
HP,NR,31.10002545,77.16659704,12/01/2019,26.4
J&K,NR,33.45,76.24,12/01/2019,34.6
Chandigarh,NR,30.71999697,76.78000565,12/01/2019,4
Chhattisgarh,WR,22.09042035,82.15998734,12/01/2019,85.2
Gujarat,WR,22.2587,71.1924,12/01/2019,294.1
MP,WR,21.30039105,76.13001949,12/01/2019,161.1
Maharashtra,WR,19.25023195,73.16017493,12/01/2019,421.8
Goa,WR,15.491997,73.81800065,12/01/2019,12.2
DNH,WR,20.26657819,73.0166178,12/01/2019,17.6
"Andhra Pradesh",SR,14.7504291,78.57002559,12/01/2019,168.1
Telangana,SR,18.1124,79.0193,12/01/2019,173.2
Karnataka,SR,12.57038129,76.91999711,12/01/2019,163.5
Kerala,SR,8.900372741,76.56999263,12/01/2019,69.9
"Tamil Nadu",SR,12.92038576,79.15004187,12/01/2019,298.4
Pondy,SR,11.93499371,79.83000037,12/01/2019,8
