States,Regions,latitude,longitude,Dates,Usage
Sikkim,ER,27.3333303,88.6166475,28/01/2019,1.1
"Arunachal Pradesh",NER,27.10039878,93.61660071,28/01/2019,2
Assam,NER,26.7499809,94.21666744,28/01/2019,18.7
Manipur,NER,24.79997072,93.95001705,28/01/2019,2.3
Meghalaya,NER,25.57049217,91.8800142,28/01/2019,4.7
Mizoram,NER,23.71039899,92.72001461,28/01/2019,1.5
Nagaland,NER,25.6669979,94.11657019,28/01/2019,2
Tripura,NER,23.83540428,91.27999914,28/01/2019,2.4
Punjab,NR,31.51997398,75.98000281,29/01/2019,139.6
Haryana,NR,28.45000633,77.01999101,29/01/2019,141.8
Rajasthan,NR,26.44999921,74.63998124,29/01/2019,223.8
Delhi,NR,28.6699929,77.23000403,29/01/2019,96.4
UP,NR,27.59998069,78.05000565,29/01/2019,365.3
Uttarakhand,NR,30.32040895,78.05000565,29/01/2019,37.8
HP,NR,31.10002545,77.16659704,29/01/2019,24.7
J&K,NR,33.45,76.24,29/01/2019,43.9
Chandigarh,NR,30.71999697,76.78000565,29/01/2019,4.1
Chhattisgarh,WR,22.09042035,82.15998734,29/01/2019,94.7
Gujarat,WR,22.2587,71.1924,29/01/2019,362.8
MP,WR,21.30039105,76.13001949,29/01/2019,208.6
Maharashtra,WR,19.25023195,73.16017493,29/01/2019,475.9
Goa,WR,15.491997,73.81800065,29/01/2019,10.7
DNH,WR,20.26657819,73.0166178,29/01/2019,18.2
"Andhra Pradesh",SR,14.7504291,78.57002559,29/01/2019,189.8
Telangana,SR,18.1124,79.0193,29/01/2019,163
Karnataka,SR,12.57038129,76.91999711,29/01/2019,215.5
Kerala,SR,8.900372741,76.56999263,29/01/2019,75.3
"Tamil Nadu",SR,12.92038576,79.15004187,29/01/2019,329.5
Pondy,SR,11.93499371,79.83000037,29/01/2019,8.4
Bihar,ER,25.78541445,87.4799727,29/01/2019,87.9
Jharkhand,ER,23.80039349,86.41998572,29/01/2019,23.8
Odisha,ER,19.82042971,85.90001746,29/01/2019,62
"West Bengal",ER,22.58039044,88.32994665,29/01/2019,131.5
Sikkim,ER,27.3333303,88.6166475,29/01/2019,1
"Arunachal Pradesh",NER,27.10039878,93.61660071,29/01/2019,1.8
Assam,NER,26.7499809,94.21666744,29/01/2019,18.3
Manipur,NER,24.79997072,93.95001705,29/01/2019,1.9
Meghalaya,NER,25.57049217,91.8800142,29/01/2019,5
Mizoram,NER,23.71039899,92.72001461,29/01/2019,1.5
Nagaland,NER,25.6669979,94.11657019,29/01/2019,1.9
Tripura,NER,23.83540428,91.27999914,29/01/2019,3.4
Punjab,NR,31.51997398,75.98000281,30/01/2019,60
Haryana,NR,28.45000633,77.01999101,30/01/2019,66.5
Rajasthan,NR,26.44999921,74.63998124,30/01/2019,131.8
Delhi,NR,28.6699929,77.23000403,30/01/2019,41.8
UP,NR,27.59998069,78.05000565,30/01/2019,220.4
Uttarakhand,NR,30.32040895,78.05000565,30/01/2019,16.8
HP,NR,31.10002545,77.16659704,30/01/2019,12.7
J&K,NR,33.45,76.24,30/01/2019,45.3
Chandigarh,NR,30.71999697,76.78000565,30/01/2019,2.2
Chhattisgarh,WR,22.09042035,82.15998734,30/01/2019,71.9
Gujarat,WR,22.2587,71.1924,30/01/2019,203.5
MP,WR,21.30039105,76.13001949,30/01/2019,150.4
Maharashtra,WR,19.25023195,73.16017493,30/01/2019,348.4
Goa,WR,15.491997,73.81800065,30/01/2019,6.9
DNH,WR,20.26657819,73.0166178,30/01/2019,1.6
"Andhra Pradesh",SR,14.7504291,78.57002559,30/01/2019,160.4
Telangana,SR,18.1124,79.0193,30/01/2019,206.5
Karnataka,SR,12.57038129,76.91999711,30/01/2019,215.7
Kerala,SR,8.900372741,76.56999263,30/01/2019,67.8
"Tamil Nadu",SR,12.92038576,79.15004187,30/01/2019,242.7
Pondy,SR,11.93499371,79.83000037,30/01/2019,4
Bihar,ER,25.78541445,87.4799727,30/01/2019,65.3
Jharkhand,ER,23.80039349,86.41998572,30/01/2019,21.9
Odisha,ER,19.82042971,85.90001746,30/01/2019,80.1
"West Bengal",ER,22.58039044,88.32994665,30/01/2019,125.7
Sikkim,ER,27.3333303,88.6166475,30/01/2019,1.1
"Arunachal Pradesh",NER,27.10039878,93.61660071,30/01/2019,1.8
Assam,NER,26.7499809,94.21666744,30/01/2019,20
Manipur,NER,24.79997072,93.95001705,30/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,30/01/2019,3.4
Mizoram,NER,23.71039899,92.72001461,30/01/2019,1.6
Nagaland,NER,25.6669979,94.11657019,30/01/2019,1.9
Tripura,NER,23.83540428,91.27999914,30/01/2019,3.4
Punjab,NR,31.51997398,75.98000281,31/01/2019,62.7
Haryana,NR,28.45000633,77.01999101,31/01/2019,68.1
Rajasthan,NR,26.44999921,74.63998124,31/01/2019,141.4
Delhi,NR,28.6699929,77.23000403,31/01/2019,43.1
UP,NR,27.59998069,78.05000565,31/01/2019,220.8
Uttarakhand,NR,30.32040895,78.05000565,31/01/2019,17.3
HP,NR,31.10002545,77.16659704,31/01/2019,12.5
J&K,NR,33.45,76.24,31/01/2019,41.9
Chandigarh,NR,30.71999697,76.78000565,31/01/2019,2.2
Chhattisgarh,WR,22.09042035,82.15998734,31/01/2019,67.8
Gujarat,WR,22.2587,71.1924,31/01/2019,212
MP,WR,21.30039105,76.13001949,31/01/2019,155.6
Maharashtra,WR,19.25023195,73.16017493,31/01/2019,345.2
Goa,WR,15.491997,73.81800065,31/01/2019,6.7
DNH,WR,20.26657819,73.0166178,31/01/2019,1.7
"Andhra Pradesh",SR,14.7504291,78.57002559,31/01/2019,162.7
Telangana,SR,18.1124,79.0193,31/01/2019,203.2
Karnataka,SR,12.57038129,76.91999711,31/01/2019,218.2
Kerala,SR,8.900372741,76.56999263,31/01/2019,69.3
"Tamil Nadu",SR,12.92038576,79.15004187,31/01/2019,244.1
Pondy,SR,11.93499371,79.83000037,31/01/2019,4.2
Bihar,ER,25.78541445,87.4799727,31/01/2019,69.4
Jharkhand,ER,23.80039349,86.41998572,31/01/2019,22.8
Odisha,ER,19.82042971,85.90001746,31/01/2019,76.1
"West Bengal",ER,22.58039044,88.32994665,31/01/2019,126.1
Sikkim,ER,27.3333303,88.6166475,31/01/2019,1.2
"Arunachal Pradesh",NER,27.10039878,93.61660071,31/01/2019,2
Assam,NER,26.7499809,94.21666744,31/01/2019,20.5
Manipur,NER,24.79997072,93.95001705,31/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,31/01/2019,3.4
Mizoram,NER,23.71039899,92.72001461,31/01/2019,1.6
Nagaland,NER,25.6669979,94.11657019,31/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,31/01/2019,3.9
Punjab,NR,31.51997398,75.98000281,02/02/2019,63.6
Haryana,NR,28.45000633,77.01999101,02/02/2019,66.7
Rajasthan,NR,26.44999921,74.63998124,02/02/2019,141.3
Delhi,NR,28.6699929,77.23000403,02/02/2019,42.9
UP,NR,27.59998069,78.05000565,02/02/2019,234.8
Uttarakhand,NR,30.32040895,78.05000565,02/02/2019,17.8
HP,NR,31.10002545,77.16659704,02/02/2019,13
J&K,NR,33.45,76.24,02/02/2019,40.2
Chandigarh,NR,30.71999697,76.78000565,02/02/2019,2.3
Chhattisgarh,WR,22.09042035,82.15998734,02/02/2019,72.6
